name,affiliation,country
Chris Roosenraad,TIME WARNER,US
Chris Salzgeber,HONEYWELL,US
Chris Seal,CK HUTCHISON,GB
Chris Spencer,GLOBALREACH TECHNOLOGY INC,GB
Chris Thompson,MOKAAA,NG
Chris Turpin,TOMORROWS NETWORKS LIMITED,GB
Chris Tuska,ARRIS GROUP,US
Chris Weber,CASABA,US
Chris White,NTT,US
Chris Wopat,WISCNET,US
Christel Dahlskjaer,PRIVATE INTERNET ACCESS,GB
Christer Holmberg,ERICSSON AB,FI
Christer Lindqvist,ACREO,SE
Christian Adu-Boahene,KNUST,GH
Christian Cassar,CISCO SYSTEMS INC,GB
Christian Chukwukelue Odoh,"HOUSE OF COMMITTE ON AVIATION, HOUSE OF REPRESENTATIVE",NG
Christian Groves,HUAWEI TECHNOLOGIES,AU
Christian Hahn,DEUTSCHE TELEKOM AG,DE
Christian Hammerschmidt,UNIVERSITY OF LUXEMBOURG,LU
Christian Hoene,SYMONICS GMBH,BW
Christian Huitema,"PRIVATE OCTOPUS, INC.",US
Christian Jacquenet,ORANGE SA,FR
Christian Kaas-Petersen,TIETO,DK
Christian Koch,TU DARMSTADT,DE
Christian Kroll,RRBONE,DE
Christian Kuhtz,MICROSOFT,US
Christian Makaya,TELCORDIA TECHNOLOGIES,US
Christian Martin,ARISTA,US
Christian Saunders,SHAW CABLESYSTEMS GP,CA
Christian Schmidt,NOKIA SIEMENS NETWORKS,DE
Christian Schmutzer,CISCO SYSTEMS INC,US
Christian Tacit,TACIT LAW,CA
Christian Teuschel,RIPE NCC,AT
Christian Tschudin,UNIVERSITY OF BASEL,CH
Christian Vogt,HAMBURG UNIVERSITY,US
Christine Arida,NATIONAL TELECOM REGULATORY AUTHORITY OF EGYPT,EG
Christine Lentz,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Christof Schmitz,ORANGE SA,FR
Christoffer Longstrom,UPPSALA UNIVERSITY,SE
Christoph Dietzel,DE-CIX,DE
Christoph Loibl,NEXT LAYER GMBH,AT
Christoph Paasch,APPLE INC.,US
Christoph Sommer,UNIV. PADERBORN,DE
Christoph Werle,UNIVERSITAET KARLSRUHE,DE
Christophe Diot,GOOGLE,US
Christophe Kiennert,TELECOM PARISTECH,FR
Christophe Patraldo,ZENCRYPT.DEV,MX
Christopher Balamaga,LIQUID TELECOM,UG
Christopher Bellman,"CARLETON UNIVERSITY, OTTAWA",CA
Christopher Bentzel,GOOGLE,US
Christopher Blizzard,MOZILLA FOUNDATION,US
Christopher Boulton,AVAYA,GB
Christopher Brown,UNIVERSITY OF NEW HAMPSHIRE INTEROPERABILITY LABORATORY,US
Christopher Browning,NTT,US
Christopher Celi,U.S. DEPARTMENT OF COMMERCE,US
Christopher Cooper,PELLISSIPPI STATE COMMUNITY COLLEGE,TN
Christopher Croot,BRITISH TELECOMMUNICATIONS PLC,GB
Christopher Dearlove,BAE SYSTEMS,GB
Christopher Donley,CABLELABS,US
Christopher Engelbrektsson,KTH - ROYAL INSTITUTE OF TECHNOLOGY,SE
Christopher Eyong Tayui,ETS TAYUI,CM
Christopher Griffiths,COMCAST,US
Christopher Inacio,CARNEGIE MELLON UNIVERSITY,US
Christopher Janz,HUAWEI TECHNOLOGIES,CA
Christopher King,LINKEDIN,US
Christopher Mondini,ICANN,US
Christopher Montgomery,MOZILLA FOUNDATION,US
Christopher Morrow,GOOGLE,US
Christopher Okello,BOSCO UGANDA,UG
Christopher Palmer,MICROSOFT,US
Christopher Rouland,PHOSPHORUS,US
Christopher Small,BBN CORPORATION,US
Christopher Soghoian,FEDERAL TRADE COMMISSION,US
Christopher Tuska,ARRIS GROUP,US
Christopher Wallace,INTERDIGITAL COMMUNICATIONS,US
Christopher Wendt,COMCAST,US
Christopher Wood,APPLE INC.,US
Christos Chrysou,CORE ASSOCIATION,CH
Christos Politis,KINGSTON UNIVERSITY,GB
Christropher Morrow,GOOGLE,US
Chrystelle Le Gall,BOUYGUES TELECOM,FR
Chu Ke,ZTE,CN
Chuanhuang Li,ZHEJIANG GONGSHANG UNIVERSITY,CN
Chuck Pellino,PELLINO SECURITY SERVICES,US
Chuka Onwe,I AM ROYAL FOUNDATION MINISTRY,NG
Chukwuemeka Okafor,NATIONAL INFORMATION TECHNOLOGY DEVELOPMENT AGENCY,NG
Chukwuma Achonu,ESSTWO ENGINEERING SERVICES LIMITED,NG
Chul Moon,NETPIA,KR
Chulhan Hwang,SK TELECOM CO LTD,KR
Chun Wang,EB,CN
Chunbo Yao,ZTE,CN
Chunfa Sun,SOFTBANK MOBILE CORP.,JP
Chung Hung Kuo,NATIONAL TSINGHUA UNIVERSITY,TW
Chung-Jeong Woo,SOONCHUNHYANG UNIV,KR
Chunhui Zhu,ZTE,CN
Chunjing Han,CHINESE ACADEMY OF SCIENCES,CN
Chunsung Lee,"TELECOMMUNICATIONS TECHNOLOGY ASSOCIATION, TTA",KR
Cidonie Tchokona,GLT SARL,CM
Cidric Adjih,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,FR
Cigdem Sengul,NOMINET,GB
Cihan Guleroglu,MARX ELECTROCNICS,CA
Cindy Morgan,AMS,US
Cinthya Briones,VSYS,MX
Cinyoung Hur,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,KR
Cj Tjhai,PQ SOLUTIONS LTD,GB
Cjfoxgvd Thfigaup,ACUNETIX,AF
Claire Cheng,D-LINK CORPORATION,TW
Claire Delcourt,NUAGE NETWORKS,US
Clara Do,UNIVERSITE PARIS-DIDEROT,FR
Clare Mcconnell,U S BANK,GB
Clarence Filsfils,CISCO SYSTEMS INC,BE
Claude Besse,SCPTIME,FR
Claude Essan,ADM-BAT,CI
Claude Patry,LOGMEIN,CA
Claude Robitaille,ACCEDIAN NETWORKS,CA
Claudio Allocchio,GARR,IT
Claudio Desanti,CISCO SYSTEMS INC,US
Claudio Figueiredo,UNIVERSITY OF PERNAMBUCO,BR
Claudio Hidalgo,NIC CHILE,CL
Claudio Luck,PEP SECURITY,CH
Claudio Marotta,.IT CCTLD REGISTRY,IT
Claudio Palomares,OSIPTEL,PE
Claudio Petrucci,C.N.I.P.A.,IT
Clayton Wagar,ALCATEL-LUCENT S.A,US
Cliff Halevi,ERICSSON AB,US
Clifford Kahn,PULSE SECURE,US
Clifford Neuman,UNIVERSITY OF SOUTHERN CALIFORNIA,US
Clint Wilson,DIGICERT,US
Clovis Molisho,HOPITAL DE REFERENCE DE KINTAMBO,CD
Clyde Wildes,CISCO SYSTEMS INC,US
Codarren Velvindron,CYBERSTORM.MU,MU
Coko Tracy Mirindi Musaza,MATRIX HOLDING,RW
Colby Barth,JUNIPER NETWORKS,US
Colin Bendell,CLOUDINARY,CA
Colin Bookham,NOKIA,GB
Colin Cantrell,THE NEXUS EMBASSY US,US
Colin Donohue,IMAGINING THE INTERNET,US
Colin Doyle,JUNIPER NETWORKS,US
Colin Mccann,IXMAPS,CA
Colin Perkins,UNIVERSITY OF GLASGOW,GB
Colin Petrie,RIPE NCC,NL
Colin Sames,HAW HAMBURG,DE
Colin Whorlow,NCSC,GB
Colleen Evans,MICROSOFT,US
Colleen Louw,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Colleen Szymanik,COMCAST,US
Collins Agyemang,STUDENT AT KNUST,GH
Collins Bandeke,MUBS,UG
Collins Uzoma,WINDFIELD INTERNATIONAL COLLEGE,MY
Colman Ho,INDUSTRY CANADA,CA
Colton Shields,JIVE COMMUNICATIONS,US
Cong Liu,TSINGHUA UNIVERSITY,CN
Congjuan Li,HUAWEI TECHNOLOGIES,CN
Congxiao Bao,CERNET,CN
Connor Pattinson,DURABLE,GB
Conny Larsson,ERICSSON AB,SE
Conrad Sanders,U S BANK,US
Coordination Center,COORDINATION CENTER FOR TLD RU,RU
Corbel Romuald,ORANGE SA,FR
Corinna Schmitt,"RESEARCH INSTITUTE CODE, UNIVERSITY OF ARMED FORCES MUNICH",DE
Corinne Cath,OXFORD INTERNET INSTITUTE,NL
Cornelius Reilly,LINESPEED,US
Cory Bannister,TELUS COMMUNICATIONS INC,CA
Cory Von Wallenstein,"DYN, INC.",US
Cory White,VERILAN,US
Coulibaly Tiekoura,LARIT,CI
Craig Carlson,CAVIUM,US
Craig Costello,MICROSOFT,US
Craig Everhart,NETWORK APPLIANCE,US
Craig Gunther,HARMAN,US
Craig Mathis,BRIGHTHOUSE NETWORKS,US
Craig Nesty,NTRC DOMINICA,DM
Craig Radcliffe,"NETSCOUT SYSTEMS, INC.",CA
Craig Schelp,PMC SIERRA INC,CA
Craig Seidel,MOVIELABS,US
Craig Simon,INDABA,US
Craig Taylor,APPLE INC.,GB
Craig White,ALCATEL-LUCENT S.A,US
Cristel Pelsser,UNIVERSITY OF STRASBOURG,FR
Cristian Hesselman,SIDN,NL
Cristian Iankovszky,U S BANK,GB
Cristian Morales Vega,SAMKNOWS,GB
Cristian Perez-Monte,GRIDTICS - UTN-FRM,AR
Cristina Monti,EUROPEAN COMMISSION,BE
Crosby Mhone,NICO TECHNOLOGIES LIMITED,MW
Cui Wang,ZTE,CN
Cui Zhenlong,NEC CORPORATION,JP
Cullen Jennings,CISCO SYSTEMS INC,CA
Cuong Nguyen,STARHUB LIMITED,SG
Curt Beckmann,"BROCADE COMMUNICATIONS SYSTEMS, INC",US
Curtis Jameson,ROGERS COMMUNICATIONS INC,CA
Cynthia Taylor,UNIVERSITY OF ILLINOIS AT CHICAGO,US
Cyrus Daboo,APPLE INC.,US
Dacheng Zhang,ALIBABA GROUP,CN
Dae-Young Kim,CHUNGNAM NATIONAL UNIVERSITY,KR
Daeyoung Hyun,SKKU,KR
Dagmawi Lemma Gobena,ADDIS ABABA UNIVERSITY,ET
Dagou Dangui Augustin Sylvain Legrand Koffi,LARIT,CI
Dai Tseng,HUNYADFALVA,HU
Daigo Komata,KDDI CORPORATION,JP
Daijin Kang,KISA KOREAN INFORMATION SECURITY AGENCY,KR
Daily Bholar Dak,DAILYBHOLAR-DAK.COM,BD
Daisuke Ajitomi,TOSHIBA,JP
Daisuke Kotani,KYOTO UNIVERSITY,JP
Daisuke Mashimo,HITACHI LTD,JP
Daisuke Okui,HITACHI LTD,JP
Daisuke Satoh,NTT,JP
Daisuke Sugahara,JUNIPER NETWORKS,JP
Daisuke Takita,HARVARD UNIVERSITY,US
Daisuke Tatsumi,KDDI CORPORATION,JP
Dake He,BLACKBERRY LIMITED,CA
Dale Mohlenhoff,CISCO SYSTEMS INC,US
Dale Seed,INTERDIGITAL COMMUNICATIONS,US
Dalini Khemlani,DNS-OARC,US
Dallas Breed,VERILAN,US
Damian Blain,GONPROGAMING,NE
Damien Saucez,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,FR
Damjan Marion,CISCO SYSTEMS INC,HR
Damodar Poudel,MERCANTILE COMMUNICATIONS PVT. LTD.,NP
Damyan Minkov,JITSI.ORG,BG
Dan Alexander,COMCAST,US
Dan Bamberg,DEUTSCHE TELEKOM AG,DE
Dan Frost,BLUE SUN,GB
Dan Jen,"UCLA - UNIVERSITY OF CALIFORNIA, LOS ANGELES",US
Dan Jones,CHIRP,GB
Dan Karp,ZIMBRA,US
Dan Li,HUAWEI TECHNOLOGIES,CN
Dan Lowe,NTT,US
Dan Luedtke,PRIVATE INDIVIDUAL,DE
Dan Massey,COLORADO STATE UNIVERSITY,US
Dan Siemon,SANDVINE INCORPORATED,CA
Dan Timpson,DIGICERT,US
Dan Uber,H. W. KAUFMAN GROUP,US
Dan Voyer,BCE - BELL CANADA ENTERPRISES INC,CA
Dan Wing,CITRIX,US
Dan Winship,"RED HAT, INC.",US
Dan Zhang,GOOGLE,US
Dana Blair,CISCO SYSTEMS INC,US
Danet Bakush,VEON,RU
Danial Johari,CISCO SYSTEMS INC,CA
Daniam Henriques,LIQUID TELECOMMUNICATIONS,ZA
Daniel Appelquist,TELEFONICA S.A.,GB
Daniel Awduche,VERIZON,US
Daniel Baffoe,MEDIA FOUNDATION FOR WEST AFRICA,GH
Daniel Bernier,BCE - BELL CANADA ENTERPRISES INC,CA
Daniel Berninger,FWD,US
Daniel Bernstein,TU EINDHOVEN,US
Daniel Breuer,COMCAST,US
Daniel Breuer Iii,COMCAST,US
Daniel Burnett,CONSENSYS,US
Daniel Cohn,ORCKIT-CORRIGENT,US
Daniel Corujo,UNIVERSIDADE DE AVEIRO,PT
Daniel Dan,RECRUITMENT,NG
Daniel De Vera,PEDECIBA INFORMATICA,UY
Daniel Derksen,ALCATEL-LUCENT S.A,NL
Daniel Diao,SHAW COMMUNICATIONS,CA
Daniel Ellard,BBN CORPORATION,US
Daniel Emem,RECRUITMENT,NG
Daniel Emilio Riganti,UNIVERSIDAD TECNOLOGICA NACIONAL,AR
Daniel Fett,YES.COM,DE
Daniel Formolo,UNISINOS UNIVERSITY,BR
Daniel Franke,AKAMAI TECHNOLOGIES,US
Daniel Gavelle,NXP SEMICONDUCTORS N.V.,GB
Daniel Giffin,STANFORD UNIVERSITY,US
Daniel Gillmor,ACLU,US
Daniel Graboys,MAGLAN,IL
Daniel Harkins,HEWLETT-PACKARD COMPANY,US
Daniel Havey,MICROSOFT,US
Daniel Hollingshead,GOOGLE,US
Daniel Huang,ZTE,CN
Daniel Ifiok,GENESIS TECHNOLOGIES,NG
Daniel Jewell,GLENDALE COMMUNITY COLLEGE,US
Daniel Justin,MALAWI SDNP,MW
Daniel Kaiser,UNIVERSITY OF LUXEMBOURG,LU
Daniel Karrenberg,RIPE NCC,NL
Daniel Keen,APPLE INC.,US
Daniel Kimani,CEWEVA,KN
Daniel King,LANCASTER UNIVERSITY,GB
Daniel Kopp,DE-CIX,DE
Daniel Lewis,PRIME THERAPEUTICS,US
Daniel Lovinger,MICROSOFT,US
Daniel Lux,SELUXIT,DK
Daniel Masse,BLUE COAT SYSTEMS INC,CA
Daniel Mcdonald,"SUN MICROSYSTEMS, INC.",US
Daniel Migault,ERICSSON AB,CA
Daniel Mongrain,PLANTCML,CA
Daniel Obam,NATIONAL COMMUNICATIONS SECRETARIAT,KE
Daniel Ofori,VODAFONE GROUP PLC,GH
Daniel Omaboe,UNITED YOUTH VOLUNTARY FOUNDATION,GH
Daniel Palomares,ORANGE SA,FR
Daniel Parenteau,UNIVERSITY OF WISCONSIN,US
Daniel Petrie,SIPEZ LLC,US
Daniel Pilkington,UK FOREIGN AND COMMONWEALTH OFFICE,US
Daniel Plohmann,UNIVERSITY OF BONN,DE
Daniel Popa,ITRON,FR
Daniel Raumer,TECHNICAL UNIVERSITY MUNICH,DE
Daniel Rozum,"CZ.NIC, Z.S.P.O.",CZ
Daniel Sadeko,UNIVERSITY OF LAGOS,NG
Daniel Stenberg,WOLFSSL,SE
Daniel Stirnimann,SWITCH,CH
Daniel Strickle,"COX COMMUNICATIONS, INC.",US
Daniel Van Geest,ISARA CORPORATION,CA
Daniel Voyer,BCE - BELL CANADA ENTERPRISES INC,CA
Daniel Walton,CUMULUS NETWORKS,US
Daniel Weber,"MARKETSOUP, INC.",US
Daniel Westacott,UNIVERSITY OF MINNESOTA,US
Daniel Witte,MOZILLA FOUNDATION,US
Daniel Yanquaye,LIBERIA FOOTBALL ASSOCIATION,LI
Daniel Zentner,DTCC,US
Daniela Poehn,LEIBNIZ SUPERCOMPUTING CENTRE,DE
Daniele Ceccarelli,ERICSSON AB,SE
Daniele Cecccarelli,ERICSSON AB,IT
Daniil Ginsburg,YANDEX,RU
Danisco Mat,NAIRASCHOLARS,AU
Danny De Vleeschauwer,NOKIA,BE
Danny Mayer,NTP,US
Danny Mcpherson,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Danny Moses,INTEL CORPORATION,IL
Danping He,HUAWEI TECHNOLOGIES,CN
Daouda Kone,ETUDIANT,ML
Dapeng Liu,ALIBABA GROUP,CN
Dario Gallucci,SUPSI,CH
Darlene Hibbs,TRIPWIRE,CA
Darrel Lewis,CISCO SYSTEMS INC,US
Darren Dukes,CISCO SYSTEMS INC,CA
Darren Kara,ICANN,US
Darren Loher,MICROSOFT,US
Darren Nevolo,OSI HARDWARE,US
Darren Seary,NORTHERN TRUST,GB
Darren Storer,OFCOM,GB
Darrieux Harvey,NANOG,US
Darrin Jones,FBI,US
Darryl Veitch,UNIVERSITY OF TECHNOLOGY SYDNEY,AU
Darshak Thakore,CABLELABS,US
Daryl Malas,CABLELABS,US
Daryl Morrell,BRIGHTHOUSE NETWORKS,US
Daryl Tanner,VIRGIN MEDIA,GB
Dave Allen,ORACLE,US
Dave Cavalcanti,INTEL CORPORATION,US
Dave Cleland,BRITISH TELECOMMUNICATIONS PLC,GB
Dave Cottlehuber,SKUNKWERKS,AT
Dave Craig,QUALCOMM INC,US
Dave Cridland,FORWARD CLINICAL LTD,GB
Dave Crocker,BRANDENBURG CONSULTING,US
Dave Knight,ICANN,CA
Dave Michaud,ROGERS COMMUNICATIONS INC,CA
Dave Moy,U S BANK,US
Dave Robinson,ALCATEL-LUCENT S.A,GB
Dave Sabourin,GOVERNMENT OF CANADA,CA
Dave Taeht,TEKLIBRE,US
Dave Taht,BUFFERBLOAT,US
Dave Tonge,MOMENTUM FINANCIAL TECHNOLOGY LTD,GB
Dave Tucker,HEWLETT-PACKARD COMPANY,GB
Dave Wynn,NETWORK FOREST,US
Davey Song,ALIBABA GROUP,CN
David Allan,ERICSSON AB,US
David Alpuche,NETWORK INFORMATION CENTER MEXICO,MX
David Amzallag,BRITISH TELECOMMUNICATIONS PLC,GB
David Asem,KNUST,GH
David Azubuike,IOSYS LIMITED,NG
David Barach,CISCO SYSTEMS INC,US
David Barr,XIPH.ORG,KR
David Barry,NETWORK TIME FOUNDATION,US
David Bel Mavouangui Vangou,UNIVERSITE MARIEN NGOUABI,CG
David Benham,CISCO SYSTEMS INC,US
David Benjamin,GOOGLE,US
David Berfeld,DEUTSCHE TELEKOM AG,DE
David Bird,GOOGLE,US
David Black,DELL COMPUTER,US
David Black,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
David Bond,FACEBOOK,US
David Borman,QUANTUM,US
David Brown,LINARO,US
David Bryan,"POLYCOM, INC.",US
David Cake,ELECTRONIC FRONTIERS AUSTRALIA,AU
David Carrel,CISCO SYSTEMS INC,US
David Cash,UNIVERSITY OF CHICAGO,US
David Conrad,ICANN,US
David Cooper,U.S. DEPARTMENT OF COMMERCE,US
David Crocker,BRANDENBURG CONSULTING,US
David Culler,UNIVERSITY OF CALIFORNIA - BERKELEY,US
David Cullerot,ACME PACKET,US
David Dugal,JUNIPER NETWORKS,US
David Farmer,UNIVERSITY OF MINNESOTA,US
David Frascone,CISCO SYSTEMS INC,US
David Freedman,CLARANET,GB
David Fullagar,NETFLIX INC,US
David Gaamuwa,"DICTS, MAKERERE UNIVERSITY",UG
David Galante,DHS-HSI,US
David Gibson,INDUSTRY CANADA,CA
David Goergen,UNIVERSITY OF LUXEMBOURG,LU
David Graham,SIXTY FOUR ONE LIMITED,GB
David Hahn,PYXIS,UY
David Halasz,MOTOROLA MOBILITY,US
David Hancock,COMCAST,US
David Hankins,GOOGLE,US
David Hassall,AERITAE CONSULTING,US
David Hayes,SIMULA RESEARCH LABORATORY,NO
David Holmes,SPRINT CORPORATION,US
David Horwitz,ECHELON CORPORATION,US
David Hughes,RIAA,US
David Hunter,PANASONIC CORPORATION,US
David Israel,AOL,US
David Kemp,U.S. DEPT OF DEFENSE,US
David Kinsaka Nduenga,OCPT,CD
David Kinzel,SHAW COMMUNICATIONS,CA
David Knight,"DYN, INC.",CA
David Krauss,CIENA CORP,US
David Kuhn,U S BANK,US
David Lake,DELL COMPUTER,GB
David Lamparter,NETDEF,DE
David Larson,CORERO,US
David Lawrence,ORACLE,US
David Lebrun,GOOGLE,IE
David Lerner,VIASAT,US
David Levine,IBM,US
David Linko,JOHN HOPKINS UNIVERSITY,US
David Mandelberg,BBN CORPORATION,US
David Marlow,UNITED STATES NAVY,US
David Mazieres,STANFORD UNIVERSITY,US
David Mcauley,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
David Mcdysan,VERIZON,US
David Mckay,ADMOB INC.,US
David Mcwalter,METASWITCH NETWORKS LTD.,GB
David Melman,MARVELL TECHNOLOGY GROUP LTD,IL
David Meyer,HUAWEI TECHNOLOGIES,US
David Miles,GOOGLE,AU
David Millman,BRITISH TELECOMMUNICATIONS PLC,US
David Mitchell,TWITTER,US
David Morgan,FIDELITY INVESTMENTS,US
David Moses,"MELLANOX TECHNOLOGIES, INC",IL
David Mutia,BIORAD,KE
David Nelson,ELBRYS NETWORKS,US
David Newman,NETWORK TEST,US
David Notch,LARGE HEALTHCARE ORGANIZATION,US
David Olive,ICANN,US
David Oliver,GUARDIAN PROJECT,US
David Overton,CLARANET,GB
David Partain,ERICSSON AB,SE
David Peck,MYSPACE,US
David Perkins,ENLIGHTED INC,US
David Quigley,U.S. DEPARTMENT OF DEFENSE,US
David Ramos,ASEP,PA
David Recordon,FACEBOOK,CA
David Reid,SNMP RESEARCH INC.,US
David Robin,BSC SOFTWORKS,US
David Robinson,IBM,US
David Ros,SIMULA RESEARCH LABORATORY,NO
David Sam,NIIT COMPUTER SCHOOL,GH
David Schinazi,GOOGLE,US
David Schwartz,XCONNECT,IL
David Singer,APPLE INC.,US
David Sinicrope,ERICSSON AB,US
David Smith,CISCO SYSTEMS INC,US
David Soltero,ICANN,US
David Somers-Harris,"RAKUTEN, INC.",JP
David Spence,CISCO SYSTEMS INC,GB
David Temkin,NETFLIX INC,US
David Thaler,MICROSOFT,US
David Tucker,HEWLETT-PACKARD COMPANY,GB
David Wagner,UNIVERSITY OF STUTTGART,DE
David Waite,PING IDENTITY,US
David Walp,MICROSOFT,US
David Ward,CISCO SYSTEMS INC,US
David Watkinson,ALCATEL-LUCENT S.A,CA
David Wheeler,INTEL CORPORATION,US
David White,CISCO SYSTEMS INC,US
David Williamson,TELLME NETWORKS INC,US
David Wilson,THOMPSON HINE LLP,US
David Wood,JUNIPER NETWORKS,GB
David Zelig,COMPASS-EOS,IL
Dawda Ceesay,MINISTRY OF HEALTH AND SOCIAL WELFARE,GM
Dawei Fan,HUAWEI TECHNOLOGIES,CN
Dawn Chan,TONGJI UNIVERSITY,CN
Dayney Antony,STUDENT,IN
Deageun Choi,CKKU,KR
Dean Ballew,CENTURYLINK,US
Dean Bogdanovic,VOLTA NETWORKS,US
Dean Cheng,HUAWEI TECHNOLOGIES,US
Dean Hildebrand,IBM,US
Dean Lee,IXIA TECHNOLOGIES,US
Dean Willis,SOFTARMOR SYSTEMS,US
Deb Cooley,U.S. DEPARTMENT OF DEFENSE,US
Debashish Purkayastha,INTERDIGITAL COMMUNICATIONS,US
Debbie Perouli,PURDUE UNIVERSITY,US
Deborah Guyton,TELCORDIA TECHNOLOGIES,US
Debparna Sen,MCKV INSTITUTE OF ENGINEERING,IN
Debu Kumar,SIT,MA
Dee Denteneer,KONINKLIJKE PHILIPS ELECTRONICS,NL
Deepak Bansal,MICROSOFT,US
Deepak Kumar,CISCO SYSTEMS INC,US
Deepanshu Gautam,HUAWEI TECHNOLOGIES,CN
Deji Chen,TONGJI UNIVERSITY,CN
Deli Gong,NATIONAL UNIVERSITY OF SINGAPORE,SG
Demetris Ioannou,PRIMEHOME,CY
Demetrius Montez Pierson,"DEMETRIUS MONTEZ PIERSON, LLC",AL
Demir Rakanovic,U-BLOX,IT
Dena Abraham,AGETIC,ML
Dena Bauckman,ZIX,US
Denis Alexeitsev,TELEFLASH,DE
Denis Butin,TU DARMSTADT,DE
Denis Michellis,TELEFONICA S.A.,BR
Denis Pinkas,DP SECURITY CONSULTING SAS,FR
Denis Reilly,OROLIA USA,US
Denis Steward Komakech,BOSCO UGANDA,UG
Denis Walker,RIPE NCC,NL
Denis Zuev,INLINE GROUP,RU
Denise Kelly,GOOGLE,US
Deniz Bahadir,BENOCS GMBH,DE
Dennis Mattoon,MICROSOFT,US
Dennis Usle,RADWARE,US
Densol Kasim,IETF - INTERNET ENGINEERING TASK FORCE,AE
Derek Atkins,SECURERF CORPORATION,US
Derek Jett,GEORGIA INSTITUTE OF TECHNOLOGY,US
Derek Macdonald,COUNTERPATH SOLUTIONS INC,CA
Derek Sperry,LIMELIGHT NETWORKS,US
Derek Yeung,ARRCUS,US
Derrick Abankwa,MTN-GHANA,GH
Derrick Agyapong,UNIVERSITY OF PROFESSIONAL STUDIES ACCRA,GH
Derrick Bagalya,SINEWALL TECHNOLOGIES,UG
Derrick Kong,BBN CORPORATION,US
Desire Harushamagara,CBINET,BI
Desire Oulai,ERICSSON AB,CA
Desiree Miloshevic,AFILIAS,GB
Desmond Bonnah,CORTEI PRODUCTIONS,GH
Destra Bourne,PUBLIC UTILITIES COMMISSION,GY
Devasena Morrissette,VERIZON,US
Devasish Phukan,STUDENT,IN
Devendra Raut,ALCATEL-LUCENT S.A,US
Devin Mullins,GOOGLE,US
Deyun Gao,BEIJING JIAO TONG UNIVERISTY,CN
Dezhi Liao,ADACEL SYSTEMS INC,US
Dezhong Cai,CISCO SYSTEMS INC,US
dgdfg sdfgdsfg,FRTGDFG,AG
Dhananjay Singh,NATIONAL INSTITUTE FOR MATHEMATICAL SCIE,KR
Dhanendra Jain,CISCO SYSTEMS INC,US
Dharamveer Singh,AMITY UNIVERSITY,IN
Dheeru Singh,UGYGUDFH,US
Dhirendra Trivedi,JUNIPER NETWORKS,IN
Dhruv Abrol,AMITY UNIVERSITY,IN
Dhruv Dhody,HUAWEI TECHNOLOGIES,IN
Di Li,RWTH AACHEN UNIVERSITY,DE
Diako Jerome,LARIT,CI
Diana Rodriguez,UNIVALLE,CO
Dickson Hodowu,KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,GH
Didier Berthoumieux,NOKIA,FR
Didier Colle,UNIVERSITY OF GHENT,BE
Didier Huck,TECHNICOLOR,FR
Didier Yable,LARIT,CI
Diederik Vandevenne,SURFSARA,NL
Diego Achaval,NOKIA,MX
Diego Alvarado,UNIVERSIDAD NACIONAL DE LOJA,EC
Diego Bezerra,JOHN DEERE,BR
Diego Caviglia,ERICSSON AB,IT
Diego Cesar Cesar,FATEC MOGI DAS CRUZES,BR
Diego Crupnicoff,"MELLANOX TECHNOLOGIES, INC",US
Diego Fernando Londono Delgado,UNIVERSITY OF CHILE,CL
Diego Iacono,BGH TECH PARTNER,AR
Diego Londono,UNIVERSIDAD DE CHILE,CL
Diego Lopez,TELEFONICA S.A.,ES
Diego Perino,ALCATEL-LUCENT S.A,FR
Diego Roberto Dujovne,UNIVERSIDAD DIEGO PORTALES,CL
Dieter Beller,NOKIA,DE
Dieter Sibold,PHYSIKALISCH-TECHNISCHE BUNDESANSTALT,DE
Diina Szics,ZALA,HU
Dikamona Juvet,FONCTION PUBLIQUE,CG
Diko Djatmiko,EXREME NETWORKS,SG
Dilipkumar Bachina,VERINT SYSTEMS,IN
Dimitri Nahm,HAW HAMBURG,DE
Dimitri Papadimitriou,LUCENT TECHNOLOGIES,BE
Dimitri Staessens,UNIVERSITY OF GHENT,BE
Dimitrios Karampatsis,INTERDIGITAL COMMUNICATIONS,GB
Dimitrios Papadopoulos,UNIVERSITY OF MARYLAND,US
Dimitrios Pezaros,UNIVERSITY OF GLASGOW,GB
Dimitrios Stiliadis,ALCATEL-LUCENT S.A,US
Dimitris Boucas,UNIVERSITY OF WESTMINSTER AND LSE,GB
Dimitris Kalogeras,NATIONAL TECHNICAL UNIVERSITY OF ATHENS,GR
Dimpi Gogoi,STUDENT,IN
Dimple Chawla,DELHI INSTITUTE OF ADVANCED STUDIES,IN
Dina Solveig Jalkanen,ICANN,NL
Dinesh Babu,ERICSSON AB,CH
Dinesh Dutt,CISCO SYSTEMS INC,US
